"Objeto del Gasto","Auxiliar","Denominación","Desc. Larga"
"555","032","Centro Diurno Cruz Alta - Florida",""
"555","033","Fundación Tenis Uruguay","Subsidio dado por la ley de Presupuesto 2020-2024"
"555","034","Nostálgicos del Fútbol","Subsidio dado por la ley de Presupuesto 2020-2024"
"555","035","Aparecida Pro Amigos","Subsidio dado por la ley de Presupuesto 2020-2024"
"555","036","Asociación de Jubilados y Pensionistas de Young","A.311 Ley N° 19996"
"555","037","Carmelo Cine Club","A.311 Ley N° 19996"
"555","038","Agencia del Cine y el Audiovisual del Uruguay (ACAU)","Art 1 L.18284 Crea  la Agencia del Cine y el Audiovisual del Uruguay (ACAU), como persona jurídica de derecho público no
estatal. Decreto Reglamentario 473/08.
Objeto creado en L. 20075. Art. 442 . Asignación de crédito Inciso 21 U.E 021 Prog. 322 Proy 000."
"555","039","Panathlon Club Montevideo","Rendición de cuentas 2021. L. 20075. Art. 452 en el Inciso 21 ""Subsidios y Subvenciones"""
"555","040","SOMO Deportes","Rendición de cuentas.L. 20075. Art. 452 en el Inciso 15. Recibe además transferencias por convenios."
"555","041","Grupo Deportivo Boca del Sacra","Rendición de cuentas 2021. L. 20075. Art. 452 en el Inciso 21."
"555","042","Org. de Aparcerías y Sociedades Tradicionalistas del Uruguay","Rendición de cuentas de 2021. L. 20075, Art. 452 en el Inciso 21 ""Subsidios y Subvenciones"""
"555","043","Club Social y Deportivo de Minas de Corrales","Rendición de Cuentas de 2021. L. 20075. Art. 452 en el Inc.21"
"555","044","Agrupación Atlética de Minas de Corrales","Rendición de Cuentas 2021. L. 20075. Art. 452 en el Inciso 21"
"555","045","Centro democrático de Florida"," Rendición de Cuentas 2021. L. 20075. Art. 452 en el Inciso 21."
"555","046","Fundación Deporte Uruguay","Habilitado por Artículo 78 L. rendición de Cuentas 2021, para apoyar federaciones del deporte. Habilitación de créditos en el Inciso 21 U.E 002 Programa 283
"
"555","047","Asociación Civil Juan Edmundo Miller","Rend. Ctas.2022, Ley Nº 20.212/2023, Art. 547. Asigna credito  en Inciso 21 ""Subsidios y Subvenciones, UE 07, Programa 320, FF 1.1 ""Rentas Generales"" para ejercicio 2024."
"555","048","Asociación Civil Wilband Uruguay","Rend. Ctas 2022. Ley Nº 20.212/2023, Art. 547. Asigna credito  en Inciso 21 ""Subsidios y Subvenciones, UE 11, Programa 280, FF 1.1 ""Rentas Generales"" para ejercicio 2024."
"555","049","Asociación de Teatros del Interior - A.T.I.","Rend. Ctas 2022, Ley Nº 20.212/2023 , Art. 547. Asigna credito  en Inciso 21 ""Subsidios y Subvenciones, UE 11, Programa 281, FF 1.1 ""Rentas Generales"" para ejercicio 2024."
"555","050","Casa del Adulto Mayor ""Lazos de Amistad"" Minas de Corrales","Rend. Ctas Ley Nº 20.212, Art. 547. Asigna credito  en Inciso 21 ""Subsidios y Subvenciones, UE 15, Programa 400, FF 1.1 ""Rentas Generales"" para ejercicio 2024."
"555","052","Federación Atlética de Salto","Subsidio otorgado en Pto. 2025 por $300.000"
"555","053","Asociación Uruguaya de Kick Boxing y Artes Marciales","Subsidio otrogado en Pto. 2025 por $300.000"
"555","054","Asociación Civil Escuela de Fútbol Abriendo Caminos","Subsidio otorgado en Pto. 2025 por $300.000"
"555","055","Club Social y Deportivo Arbolito","Subsidio otorgado en Pto. 2025 por $200.000"
"555","056","Centro de Estudios Ferroviarios","subsidio otrogado en Pto. 2025 por $300.000"
"555","057","Asociación Social y Cultural Balelé","Subsidio otorgado en Pto. 2025 por $300.000"
"555","058","Centro de Artes Marciales","Asignación en Pto. 2025 de $50.000"
"555","059","Biblioteca Jacinto Laguna","Se asignaron $50.000 en Pto. 2025"
"555","060","Orquesta Infantil y Juvenil de Colonia Valdense","Se le asignó $50.000 en Pto. 2025"
"555","061","Asociación Uruguaya de Dance Sport","Se asignaron $30.000 en Pto. 2025"
"555","062","Club Deportivo La Paloma","Se le asignaron $100.000 en Pto. 2025"
"555","063","Sociedad Rodoniana","Se le asignaron $100.000 en Pto. 2025"
"559","000","Transferencias corrientes a otras Instit. Sin Fines De Lucro","Clasifica/transferencia p/gtos corrientes a otras instituciones privadas sin fines de lucro. P/L.Presupuesto Nal 19.355 19/12/2015 se asignó a Inc. 06-MRREE, 09-MT, 11-MEC p/varias UEs y a la UE 002.-,Direc.Educ. p/A. 412 L. 19.355 partida 2016-2019, 12-MSP p/varias UEs y a la UE 001 p/A 460 L. 1.9355 (P/A. 396 L. 16.736 debería asignarse al O/Gto.previsto: 553 017, 16 - Pod.Jud. y 29-ASSE UE 068 p/A. 460 y 595 L. 19.355. Contingente p/Inc. 02, UE 011, Ej. 2024, Res. 012746 de 14/12/2023. "
"559","001","Agencia Nacional de Desarrollo (ANDE)","Creado en Rendición de Cuentas 2021. L. 20075. Art. 451 en Inciso 21 U.E 021 Prog. 322 Proy. 000."
"559","002","Instituto Nacional de Semilla","Clasifica la transferencia al INS- persona jurídica de derecho público no estatal- asignada por Ley de Presupuesto 19355 de 19/12/2015 en el Inciso 21""Subsidios y Subvenciones"", UE 007 ""MAGyP"".
L.19924 Art.623 limita el monto de la partida a UR 20.000"
"559","003","Instituto Promoción Inversión y Exportación Uruguay XXI","Clasifica la transferencia al Instituto Promoción Inversión y Exportación  Uruguay XXI- persona jurídica de derecho público no estatal- asignada por Ley de Presupuesto 19355 de 19/12/2015 en el Inciso 21""Subsidios y Subvenciones"", UE 021. Recibe además transferencias por convenios."
"559","004","Partidos políticos- elecciones internas y departamentales","Codifica la partida prevista para financiar los gastos que generen los Partidos Políticos en elecciones internas y departamentales (13UI p/cada voto válido) y nacionales(1a.87 y 2a.10UI p/cada voto válido) según A20 L.18485 11/05/2009 con cargo al Inciso 24 ""Diversos Créditos"", UE024.  (A.1 L.17157-año 1999, A.1 L.17830-año2005)  
"
"559","005","Aporte del Estado a partidos políticos","El Estado aportará a los Partidos Politicos una partida anual equivalente al valor de 4 Unidades Indexadas por cada voto obtenido en la utilima elecciòn. Se hará efectiva atraves del P.Legistativo en 12 cuotas mensuales, iguales y consecutivas, estimada en unidades indexadas según A39 L18485  11/05/2009 y  Dto.137/010 23/04/2010."
"559","006","Agencia de Información y Gestión del SNIS","Creado rendición de cuentas 2021"
"559","007","Sociedad ""El Refugio"" Asociación Protectora de Animales","Partida anual destinada a apoyar a la Sociedad El Refugio (APA) Asociación Protectorade Animales establecido por el A445 L17930 del 19/12/2005, con modificación A34 L18046 24/10/2006 y A298-299 L18172 31/08/2007 y por A475 L18362 de 6/10/2008.   Por A665 Ley de Presupuesto 19355 de 19/12/2015 en el Inc. 21 ""Subsidios y Subvenciones"", UE 015 ""MIDES"" se incrementó a partir del ejercicio 2017."
"559","010","Organismo Uruguayo de Acreditación","Codifica la partida anual destinada al Organismo Uruguayo de Acreditación por el A450 L17930, a partir del 2007 hasta 2009, condicionada a la suscripción de un compromiso de gestión entre el Mrio.de Industria, Energía y Minería, y el organismo de referencia, se dará cuenta al MEF y a la Asamblea General. Por A665 Ley de Presupuesto 19355 19/12/2015 se incrementa en el Inc.21 ""Subsidios y Subvenciones"", UE 008 ""MIEM"" a partir del ejercicio 2017."
"559","011","Comisión.H.Erradic.Vivienda Rural Insalubre-Renta afectada","Clasifica la transferencia a la Comisión Honoraria MEVIR- persona jurídica de derecho público no estatal- asignada por Ley de Presupuesto 19355 de 19/12/2015 en el Inciso 21""Subsidios y Subvenciones"", UE 014 ""MVOTyMA""."
"559","014","MEVIR- Renta afectada","Clasifica la transferencia a la MEVIR- persona jurídica de derecho público no estatal- asignada por Ley de Presupuesto 19355 de 19/12/2015 en el Inciso 21""Subsidios y Subvenciones"", UE 014 ""MVOTyMA""  e incrementada por A347 L18172 31/08/2007 que faculta al PE a habilitar la asignación de partidas presupuestales a los organismos y organizaciones beneficiarias, con cargo a Rentas Generales (Reforma Tributaria) - A109 L18083 27/12/2006."
"559","015","Comisión Nacional del Uruguay para la Unesco","Partida anual destinada a apoyar a la Comisión Nacional del Uruguay para la Unesco, de acuerdo a lo establecido por A445-446 de L17930 del 19/12/2005, con modificación A34 L18046 24/10/2006 y A298-299 L18172 31/08/2007 y  A475 18362 6/10/2008.
Se asignó a dicha Comisión por Ley de Presupuesto 19355 19/12/2015 en el Inciso 11""MEC"" UE 001."
"559","017","Movimiento Nacional de Usuarios de Salud Pública y Privada","Partida anual destinada a apoyar al Movimiento Nal de Usuarios de Salúd Pública y Privada por A445-446 L17930 19/12/2005, con modificación A34 L18046 24/10/2006 y A298-299 L18172 31/08/2007 y por A475 L18362 6/10/2008. Por A665 Ley de Presupuesto 19355 de 19/12/2015 en el Inc. 21 ""Subsidios y Subvenciones"", UE 012 ""MSP"" se incrementó a partir del ejercicio 2016. Por A229 L19535 RCtas 2016 de 25/09/2017 se incrementa asignaciòn presupuestal a partir ejercicio 2018."
"559","020","Asociación Nueva Voz","Partida anual destinada a apoyar a la  Asociación Nueva Voz por A445-446 L17930 del 19/12/2005, con modificación A34 L18046 24/10/2006 y A298-299 L18172 31/08/2007 y por A475 L8362 6/10/2008.  Por A665 Ley de Presupuesto 19355 de 19/12/2015 en el Inc.21 ""Subsidios y Subvenciones"" , UE 012 ""MSP"" se incrementó a partir del ejercicio 2017."
"559","021","Instituto Nacional de Cooperativismo - INACOOP","Clasifica la transferencia al INACOOP - persona jurídica de derecho público no estatal- partida asignada en el Inciso 21""Subsidios y Subvenciones "", UE 021  por Ley de Presupuesto 19355 de 19/12/2015."
"559","022","Instituto Nacional de Logística - INALOG","Clasifica la transferencia al INALOG- persona jurídica de derecho público no estatal- partida asignada en el Inciso 21""Subsidios y Subvenciones "", UE 010 ""MTOP"",  por Ley de Presupuesto 19355 de 19/12/2015. Contingente para Inc. 10, UE, 007, Ej. 2024, Res. 012746 de 14/12/2023."
"559","031","Asociación Civil Maestra Juana Guerra","Por A354 L19149 24/10/2013 se asigna crédito en el Inciso 21 ""Subsidios y Subvenciones"" a la  Asociación Civil "" Maestra Juana Guerra"" para el ejercicio 2014.  Por A665 Ley de Presupuesto 19355 de 19/12/2015 en el Inc. 21, UE 015 ""MIDES"" se incrementó a partir del ejercicio 2016."
"559","032","Centro Día","Por A354 L19149 24/10/2013 se asigna crédito en el Inciso 21 ""Subsidios y Subvenciones"" a la institución Centro Día, para el ejercicio 2014.  Por A665 Ley de Presupuesto 19355 de 19/12/2015 en el Inc. 21, UE 015 ""MIDES"" se incrementó a partir del ejercicio 2017."
"559","033","Transferencia para fortalecimiento","Partida presupuestada para el Inciso 15 ""MIDES"" (A522 L19355 19/12/2015)  por Ley de Presupuesto 2015-2019, para personal contratado a través de organizaciones de la sociedad civil u otras instituciones de derecho público o privado. Partida limitativa que no podrá ser reforzada por el mecanismo de trasposición (A72 L18719)."
"559","034","Transferencia para fortalecimiento institucional","Partida presupuestada para el Inciso 15 ""MIDES"" (A522 L19355 19/12/2015)  por Ley de Presupuesto 2015-2019, para personal contratado a través de organizaciones de la sociedad civil u otras instituciones de derecho público o privado. Partida limitativa que no podrá ser reforzada por el mecanismo de trasposición (A72 L18719)."
"559","035","Transferencia OSC y Personas Públicas no Estatales","Clasifica la transferencia a Organizaciones de la Sociedad Civil y Personas Públicas no Estatales en el Inciso 15 ""MIDES"" 
UE 001, y por A515 L19355 19/12/2015 Presupuesto 2015-2019 se transfieren los créditos del Programa Uruguay Crece Contigo (orbita de Presidencia)."
"559","036","Plan Nacional de Agroecología","Partida anual destinada a apoyar al Plan Nacional de Agroecología por A666 Ley de Presupuesto 19355 de 19/12/2015 asignada en el Inc. 21 ""Subsidios y Subvenciones"", UE 007 ""MGAP"" para el ejercicio 2016 y a partir del 2017."
"559","037","Amigos de los Animales de Paysandú","Partida anual destinada a apoyar a la Institución Amigos de los Animales de Paysandú,  por A666 Ley de Presupuesto 19355 de 19/12/2015 asignada en el Inc. 21 ""Subsidios y Subvenciones"", UE 015 ""MIDES"" para el ejercicio 2016 y a partir del 2017. Por A229 L19535 RCtas 2016 de 25/09/2017 se incrementa asignaciòn presupuestal a partir ejercicio 2018."
"559","038","Animales sin Hogar","Partida anual destinada a apoyar a Animales sin Hogar por A666 Ley de Presupuesto 19355 de 19/12/2015 asignada en el Inc. 21 ""Subsidios y Subvenciones"", UE 015 ""MIDES"" para el ejercicio 2016 y a partir del 2017."
"559","039","Refugio PGA","Clasifica la partida asignada al Inciso 21 ""Subsidios y Subvenciones"" UE 015 ""MIDES"" segùn artìculo 315 Ley de Rendición de Cuentas del ejercicio 2017 N.19670 de 15/10/2018."
"559","040","Asociación de Amigas y Amigos del Museo de la Memoria","Clasifica la partida asignada al Inciso 21 ""Subsidios y Subvenciones"" UE 011 ""MEC"" segùn artìculo 315 Ley de Rendición de Cuentas del ejercicio 2017 N.19670 de 15/10/2018."
"559","041","Asociación Rural Bañados de Carrasco","A.311 Ley N° 19996"
"559","042","Asociación Civil Tradicionalista d/los Troperos d/la Tablada","A.311 Ley N° 19996"
"559","043","Sociedad 25 de Agosto de Pensionistas y Retirados d/las FFAA","A.311 Ley N° 19996"
"559","044","Ministerio de Impacto Cristiano","A.311 Ley N° 19996"
"559","045","Sociedad p/la Conservación de la Biodiversidad de Maldonado","Sociedad p/la Conservación de la Biodiversidad de Maldonado. Asígnese en el Inciso 21 ""Subsidios y Subvenciones"", a partir del ejercicio 2022.SOCOBIOMA
A.311 Ley N° 19996"
"559","046","ONG La India - Bioparque de Florida","Rendición de cuentas 2021. L. 20075. Art. 452 en el Inciso 21."
"559","047","Redex Uruguay","Rendición de cuentas 2021. L. 20075. Art. 452 en el Inciso 21."
"559","050","Circulo Policial de Rivera","Rendición de Cuentas 2021. L. 20075 Art. 452 en el Inciso 21"
"559","051","Protectora de Animales Los Callejeros - Melo"," Rendición de Cuentas 2021. L. 20075. Art. 452 en el Inciso 21."
"559","052","ONG Animales de Rio Branco","Rend. Ctas 2022 Ley Nº 20.212/2023, Art. 547. Asigna credito  en Inciso 21 ""Subsidios y Subvenciones, UE 15, Programa 400, FF 1.1 ""Rentas Generales"" para ejercicio 2024."
"559","053","Bastet Rescate Felino","Rend. Ctas 2022 Ley Nº 20.212/2023, Art. 547. Asigna credito  en Inciso 21 ""Subsidios y Subvenciones, UE 15, Programa 400, FF 1.1 ""Rentas Generales"" para ejercicio 2024."
"559","054","Asociación de Pasivos de Fray Marcos A.DE.P.FRAY","Rend. Ctas. 2022, Ley Nº 20.212/2023, Art. 547. Asigna credito  en Inciso 21 ""Subsidios y Subvenciones, UE 15, Programa 400, FF 1.1 ""Rentas Generales"" para ejercicio 2024."
"559","056","Usuarios Unidos de la Salud de Uruguay (UUSU)","Subsidio otorgado en Pto. 2025 por $300.000"
"559","057","Prodea Salto","Subsidio otorgado en Pto. 2025 por $200.000"
"559","058","Amigos del Viento","Subsidio otorgado en Pto. 2025 por $250.000"
"559","059","Vida Animal","Se asignó $50.000 en Pto. 2025"
"559","060","Asociación de bomberos","Se asignaron $50.000 en Pto. 2025"
"559","061","Ex Federación del Vidrio","Se asignaron $50.000 en Pto. 2025"
"559","062","Fundación Cesáreo Berisso","Se le asignaron $50.000 en Pto. 2025"
"559","063","Red Nacional de Educación Ambiental","Se le asignaron $50.000 en Pto. 2025"
"561","000","Científicas y de investigación","Aportes a instituciones privadas científicas y de investigación sin fines de lucro, para la adquisición de equipos y otros activos, construcciones, y amortización de deuda."
"562","000","Educativas","Aportes a instituciones privadas educacionales sin fines de lucro, para la adquisición de equipos y otros activos, construcciones y amortización de deuda."
"563","000","De protección a la salud","Clasifica los aportes a instituciones privadas de protección a la salud sin fines de lucro, para la adquisición de equipos y otros activos, construcciones y amortización de deuda. Por Ley de Presupuesto Nacional 19355 19/12/2015 se asignó al Inciso 29 ""ASSE"" UE 006 ""Hosp. Pasteur"" y 068 ""ASSE""."
"563","001","Comisión Hon. de Admin. y Ejec. - Proy. PNI Hosp. Maciel","Dirección Nacional de Loterias y Quinielas asignará el 1% de lo recaudado en las Loterías de Fin de Año y de Revancha de Reyes a beneficio del Hospital Maciel, A2 L19135 de 20/9/2013. Modificado por Ley de Presupuesto 19355 de 19/12/2015 según A608. Sustituye 1% por 1/3 para la Comisión Honoraria del Hospital Maciel. Inciso 21 ""Subsidios y Subvenciones"", UE 029 ""ASSE""."
"563","002","Comisión Hon. de Admin. y Ejec. - Proy. PNI Hospital Pasteur","Dirección Nacional de Loterias y Quinielas asignará el 1% de lo recaudado en las Loterías de Fin de Año y de Revancha de Reyes a beneficio del Hospital Pasterur, A2 L19135 de 20/9/2013. Modificado por Ley de Presupuesto 19355 de 19/12/2015 según A608. Sustituye 1% por 1/3 para la Comisión Honoraria del Hospital Pasteur. Inciso 21 ""Subsidios y Subvenciones"", UE 029 ""ASSE""."
"563","003","Comisión Hon. de Admin. y Ejec.- Proy. PNI H.Pereira Rossell","Dirección Nacional de Loterias y Quinielas asignará el 1% de lo recaudado en las Loterías de Fin de Año y de Revancha de Reyes a beneficio del Hospital Pereira Rossell A2 L19135 de 20/9/2013.Modificado por Ley de Presupuesto 19355 de 19/12/2015 según A608. Sustituye 1% por 1/3 para la Comisión Honoraria del Hospital Pereira Rossell para Inversiones. Inciso 21 ""Subsidios y Subvenciones"", UE 029 ""ASSE""."
"564","000","De asistencia social","Aportes a instituciones privadas de asistencia social sin fines de lucro, para la adquisición de equipos y otros activos, construcciones, y amortización de deuda."
"565","000","Deportivas, culturales y recreativas","Aportes a instituciones privadas deportivas, culturales y recreativas sin fines de lucro, para la adquisición de equipos y otros activos, construcciones y amortización de deuda."
"569","000","Transferencias de capital a otras Instit. Sin Fines De Lucro","Clasifica los aportes a instituciones privadas sin fines de lucro, para la adquisición de equipos y otros activos, construcciones y amortización de deuda, no clasificadas en los objetos del gasto anteriores. Por Ley de Presupuesto Nal 19355 19/12/2015 se asignó a los Incisos 10 ""MTOP"" UE 001, 11 ""MEC"" UE 012 ""Direc.Innov.,Ciencia y Tec.p/Desarrollo"", 27 ""INAU"" UE 001."
"571","000","Jubilaciones","Pago a personas que al cumplir el tiempo de servicio y la edad reglamentaria han dejado de prestar sus servicios a los orgnismos e instituciones públicas y que en virtud de las disposiciones legales vigentes tienen derecho a percibir  determinados emolumentos. Por Ley de Presupuesto 19355 de 19/12/2015 se asigna al Inciso 22 ""Transferencias Financieras al Sector Seguridad Social "" UE 022."
"572","000","Pensiones","Son prestaciones otorgadas a los supervivientes de personas amparadas por el régimen de seguridad social. Por Ley de Presupuesto 19355 de 19/12/2015 se asigna al Inciso 22 ""Transferencias Financieras al Sector Seguridad Social "" UE 022."
"573","000","Pensiones graciables","Son prestaciones especiales concedidas a las personas supervivientes de éstas que han cumplido una actividad relevante o de interés público. Por Ley de Presupuesto 19355 de 19/12/2015 se asigna en los Incisos 22 ""Transferencias Financieras al Sector Seguridad Social "" UE 022 e Inc. 04 ""MInterior"" UE 034 ""Dirección Nacional de Asuntos Sociales""."
"574","000","Pensiones a la vejez","Son las prestaciones concedidas a las personas en consideración esencialmente a su edad."
"575","000","Transf. unid. fam. p/cese activ. jerarcas pol./part conf.","Son las prestaciones concedidas a las personas que de  acuerdo a la normativa vigente puedan acogerse al beneficio de cada una de las distintas clases de jubilación( por cese o actividad de jerarcas políticos o de particular confianza)."
"575","001","Subsidio cargos políticos y de particular confianza","Titulares de los cargos políticos o de particular confianza(nómina), Acto9 A35 y L15900 A5 de 21/10/987, subsidio del 85% del total de haberes del cargo en actividad y que no hubieren configurado causal jubilatoria anticipada al momento de desvinculación de dichos cargos durante un período equivalente al triple del que ocuparon y hasta un máximo de 1 año a contar desde fecha de cese. Atributos sin campo previsto SIIF:aum.sal.,ap.patronal,aguinaldo,sujeto a montepío,crédito TC=1."
"576","000","Incentivos","Son las prestaciones concedidas a las personas que de acuerdo a la normativa vigente puedan acogerse al beneficio de incentivos de retiro, segùn las diferentes causas."
"576","038","Prestación 15% s/retribuciones funcionarios c/60 a 69 años","Los funcionarios públicos que se acojan al beneficio jubilatorio, 60a69 años de edad, y hasta que cumplan 70 años, percibirán mensualmente hasta el 15% de sus retribuciones, con cargo al Presupuesto de la oficina que cumplian funciones. Las sumas a abonar se ajustarán con el aumento general  para sus funcionarios. A10 y A15 L17556 18/09/2002 y Dto.411/002 25/10/2002. Incisos 10 ""MTOP"" y 13 ""MTSS"" tienen asignación por Ley de Presupuesto 19355 19/12/2015. Ajusta a Padrón. "
"576","041","Incentivo Retiro>=58años con causal al 2008","Clasifica la partida por concepto de incentivo de retiro para funcs de Incisos 2 al 15 y 36 equivalente al 65% del promedio mensual de las retribuciones nominales sujetas a montepío cobradas durante 2005, según A29 L17930 19/12/2005.>=58años3 1/12/05 y causal/1/1/08.No será materia gravada p/seguridad social. Enero/2008-aporta al FONASA. Partida presupuestada en el Inciso 05, UE 005 por Ley de Presupuesto Nacional 19355 19/12/2015. A partir de 2023 ajusta a Padrón. "
"576","042","Inc.Retiro>=64años Poder Legislativo","Incentivo por retiro para funcionarios del Palacio Legislativo, el monto del incentivo será un complemento mensual al haber jubilatorio y será equivalente al 64% del promedio mensual de la totalidad de las retribuciones nominales sujetas a montepío efectivamente cobradas p/todo concepto en 2005. No será materia gravada p/seguridad social y se regirá según A29 Res.de la Comisión Administrativa del P. Legislativo del 29/03/2006. UE 001-002 y 003. >=64años31/12/05 c/causal Jub.P.Legisl."
"576","043","Beneficio para causahabientes de incentivos","Beneficio para causahabientes de funcionarios fallecidos de los Incisos 2 al 15, que se ampararon al incentivo de retiro Leyes 17930 19/12/2005 A29 y L17556 A10 18/09/2002, y para Aduanas según A179 L18362 6/10/2008 y Dto.245/009 25/05/2009. Ver objetos 576/041, y 576/038. (No tiene asignación de crédito)."
"576","044","Incentivo Retiro>=58años con causal al 2011","Incentivo para funcionarios de Aduanas- Inc.05 UE 007, no tendrá carácter remunerativo y será equivalente al 75% del promedio mensual de la totalidad de las retribuciones nominales sujetas a montepío cobradas por todo concepto durante 2008, según A179 L18362  6/10/2008 y Dto 245/009 25/05/2009. No tiene asignación de crédito. >=58años31/12/08 y causal/1/1/11"
"576","045","Incentivo retiro funcionarios de AFE","Por A238 L19535-Rend.Cuentas 2016 de 25/09/2017 se reasigna del Inc.21 OGto 511/001 ""Subsidio AFE"" al Inc.24 UE002, Financiaciòn 1.1."
"577","000","Becas que no impliquen relación laboral ni pasantías país","Clasifica el Objeto del Gasto asociado a Becas que no impliquen relación laboral ni pasantías en el país. Asignación dada p/ el Inc. 11-MEC,UE 002""Dirección de Educación"" p/L. de Presup. Nac., L. 19.355 de 19/12/2015. Becas Julio Castro y Udelar. Contingente p/Inc. 11-MEC, Us Ejs 001 y 002. Ej. 2024, Res. 012746 de 14/12/2023."
"577","001","Becas de estudio - Territorio Nacional","Clasifica el Objeto del Gasto asociado a Becas de Estudio - Territorio Nacional. Asignación dada para el Inciso 11 ""MEC"" UE 002 ""Dirección de Educación"" por Ley de Presupuesto Nacional 19355 19/12/2015. Ver  A115 L15851 24/12/1986 - MEC. Becas Enseñanza Media Básica.El Inciso 32 ""INUMET"" presupuestó por Ley 19355 19/12/2015."
"577","002","Becas para estudiantes Educación Media pública - ANEP","Presupuesto 2025-2029"
"577","004","Becas Convenios I.N.J.U.","Clasifica el Objeto del Gasto asociado a Becas Convenios INJU. Asignación dada para el Inciso 15 ""MIDES"" UE 001 ""Dirección Gral de Secretaría"" por Ley de Presupuesto Nacional 19355 19/12/2015. (Res.Ministerial 12/8/96). Reasigna crèdito del Inc.15 UE001 (Proy.112) al Obj.Gto. 057/000 por A175 L19535 25/09/2017-Rend. Ctas 2016."
"577","005","Becas de estudiantes de formación docente","A solicitud de la Unidad de Pto Nacional por nota de 5/09/2014. Para diferenciarlas de las otras Becas. Se renombra y asigna crédito en Pto. 2025."
"577","006","Becas, cursos cortos y pasantías en exterior","Codificación prevista para las transferencias con destino a cursos de capacitación del proyecto indicado. Proy 1293OC/UR-PDT"
"577","007","Fondo de Solidaridad - Renta afectada","Codifica los aportes o asistencia financiera al Fondo de Solidaridad, partida asignada en el Inciso 21 ""Subsidios y Subvenciones"", UE 021 por Ley de Presupuesto 19355 de 19/12/2015, Financiación 1.2. Ley 16524 de 25/07/1994 (Creación del Fondo de Solidaridad) y por A3 L16524 se ajusta el crédito asignado por Presupuesto."
"578","000","Beneficios sociales","Son las prestaciones concedidas a las personas que de  acuerdo a la normativa vigente puedan acogerse a determinados Beneficios Sociales  (Asignaciones Familiares, Asistencias Colectivas, Indemnizaciones, Servicios Médicos, etc) ."
"578","001","Asignaciones familiares clases pasivas","Beneficio por Asignación Familiar para hijos u otros familiares menores de jubilados o a favor de hijos menores de jubilados fallecidos, por A10 L13426 2/12/1965, para los Incisos del Pto Nal y A220 CR. Crédito asignado por Ley Presupuesto Nacional 19355 19/12/2016 en el Inciso 22"" Transferencias Financieras al Sector Seguridad Social"", UE 003 ""MDN"" y 022"" Transf.Financieras Sector Seguridad Social. Dir.Secretaria""."
"578","002","Asignaciones familiares -hijos Func. Pcos. Fallecidos","Beneficio por Asignación Familiar a favor de los hijos menores de funcionarios públicos fallecidos, de acuerdo a lo previsto por el A47 L12801 30/11/1960 para los Incisos del Pto Nal y A220 CR. Crédito asignado por Ley Presupuesto Nacional 19355 19/12/2015.

"
"578","003","Asistencia Colectiva Personal Policial Interior","Beneficio p/Asistencia Colectiva al Personal en Actividad en Jefaturas de Policía del Interior, de acuerdo a lo previsto p/el A. 151 L. 14.106 de 14/03/1973 p/Inc. 4 - M. Int. Crédito asignado p/L. Presup. Nac. L.19.355 de 19/12/2015. Se ajusta en la misma proporción en que se incrementan las cuotas de las sociedades de asistencia mèdica colectivizada, según A. 155, L. 14.252 de 22/08/1974. Contingente p/Inc. 04, UE 034. Ej.2024, Res. 012746 de 14/12/2023. "
"578","005","Indemnización p/despido y seguro de desemp. no Func. Pub.","Indemnización por despido y beneficio de seguro de desempleo de contratos a término, previsto por DLey 15180 (Ley de Seguro de Desempleo) 20/08/1981,  A34 L17556 18/09/2002 y A16 Dto.85/003 28/0372003, regula el cobro de dichos beneficios  requisito: plazo de 24 meses o más en el contrato y la suma de los 2 beneficios no podrá ser > a 6meses de retribución total, y será la diferencia resultante. Pago por única vez. Le corresponde a A.54 L 18719 Contratos Laborales (Inc.11 UE 024)."
"578","006","Asistencia Colectiva Personal Policial Interior-retirados","Beneficio p/Asistencia Colectiva al Personal Retirado en las Jefaturas de Policía del Interior, de acuerdo a lo previsto por el A. 151 L. 14.106 de 14/03/1973, para el Inc. 04-M. Interior. Crédito asignado p/L. Presup. Nacional L.19.355 , 19/12/2015. Se ajusta en la misma proporción en que se incrementan las cuotas de las sociedades de asistencia médica colectivizada, s/A. 155. L. 14.252 de 22/08/1974. Contingente p/Inc. 04, UE 04/034. Ej. 2024, Res. 012746 de 14/12/2023."
"578","007","Servicio odontológico, guardería y otros","Por A19 L19438 de 14/10/2016 se autoriza el pago de una partida por guardería, en el Inciso 02 =Presidencia, UE 001 que se financiará con la reasignación de crédito desde el Obj. Gto 099.001 ""Partida proyectada"" y por Ley de Presupuesto Nacional 19355 19/12/2015 A105 en la UE 011""Sec. Nal Deporte""(partida A433 L18719 27/12/2010). Y en los Incisos 05 =MEF UE 007, 07 =MGAP y 09=MT asignación por Ley 19355 19/12/2015. El Inciso 15 para Centro de Cuidados de 1ra. Infancia  y Convenio MIDES - PROCES"
"578","008","Asignación familiar empleado actividad privada","Por A13 L18227 de 22/12/2007 deroga Leyes  17139 y 17758, y establece régimen de la prestación a todo empleado de la actividad privada que preste servicios remunerados a terceros y que tenga hijos o menores a su cargo. DLey 15084 28/11/1980. Crédito asignado por Ley Presupuesto Nacional 19355 19/12/2016 en el Inciso 22"" Transferencias Financieras al Sector Seguridad Social"", UE 022""Transf.Financieras Sector Seguridad Social. Dir.Secretaria"""
